iter	Passed	Remaining
0	2	2883
1	5	2563
2	7	2498
3	9	2385
4	11	2377
5	14	2338
6	16	2315
7	18	2301
8	20	2303
9	23	2308
10	25	2298
11	27	2296
12	30	2298
13	32	2287
14	34	2270
15	36	2265
16	39	2306
17	42	2292
18	44	2283
19	46	2285
20	48	2279
21	51	2273
22	53	2263
23	55	2266
24	57	2259
25	60	2272
26	63	2274
27	65	2266
28	67	2261
29	69	2260
30	72	2273
31	75	2269
32	77	2264
33	79	2265
34	81	2258
35	84	2253
36	86	2252
37	88	2245
38	90	2241
39	93	2235
40	95	2232
41	97	2228
42	99	2223
43	102	2223
44	105	2238
45	107	2232
46	109	2228
47	112	2237
48	115	2235
49	117	2231
50	120	2236
51	122	2230
52	124	2227
53	127	2227
54	129	2224
55	131	2223
56	134	2218
57	136	2214
58	138	2210
59	140	2207
60	143	2206
61	145	2203
62	148	2201
63	150	2202
64	152	2199
65	155	2194
66	157	2192
67	159	2191
68	162	2189
69	164	2187
70	167	2185
71	169	2182
72	171	2182
73	174	2180
74	176	2178
75	178	2174
76	180	2169
77	183	2166
78	185	2161
79	187	2157
80	189	2153
81	191	2149
82	194	2146
83	196	2143
84	198	2139
85	200	2135
86	203	2136
87	205	2132
88	207	2128
89	210	2126
90	212	2123
91	214	2119
92	216	2115
93	219	2111
94	221	2108
95	223	2104
96	226	2104
97	228	2101
98	230	2098
99	232	2096
100	235	2097
101	237	2093
102	240	2091
103	242	2089
104	244	2086
105	246	2081
106	249	2080
107	251	2076
108	253	2073
109	255	2071
110	258	2067
111	260	2064
112	262	2060
113	264	2057
114	266	2053
115	269	2050
116	271	2050
117	273	2047
118	276	2045
119	278	2042
120	280	2038
121	282	2035
122	284	2031
123	287	2034
124	290	2030
125	292	2032
126	295	2031
127	297	2027
128	300	2029
129	303	2027
130	305	2025
131	307	2021
132	309	2020
133	312	2018
134	314	2014
135	316	2011
136	318	2008
137	321	2005
138	323	2002
139	325	2000
140	327	1997
141	330	1994
142	332	1991
143	335	1992
144	337	1991
145	339	1988
146	342	1985
147	344	1984
148	346	1980
149	349	1977
150	351	1975
151	353	1972
152	355	1968
153	357	1966
154	360	1964
155	362	1962
156	364	1959
157	368	1964
158	370	1961
159	373	1958
160	375	1955
161	377	1952
162	379	1949
163	381	1946
164	384	1944
165	386	1941
166	388	1938
167	391	1937
168	393	1934
169	395	1931
170	397	1929
171	400	1926
172	402	1923
173	404	1922
174	407	1922
175	410	1920
176	412	1917
177	414	1915
178	417	1912
179	419	1910
180	421	1907
181	423	1904
182	426	1901
183	428	1901
184	431	1900
185	433	1896
186	436	1897
187	438	1895
188	441	1895
189	444	1893
190	447	1893
191	449	1893
192	452	1892
193	455	1891
194	457	1890
195	460	1889
196	463	1887
197	465	1884
198	467	1883
199	470	1883
200	473	1880
201	475	1878
202	477	1876
203	480	1874
204	482	1871
205	484	1869
206	487	1866
207	489	1863
208	491	1859
209	493	1857
210	495	1854
211	498	1851
212	500	1848
213	502	1845
214	504	1842
215	506	1839
216	509	1837
217	511	1834
218	513	1831
219	516	1830
220	518	1829
221	521	1826
222	523	1823
223	526	1823
224	528	1820
225	530	1818
226	533	1815
227	535	1813
228	537	1810
229	539	1807
230	542	1804
231	544	1801
232	546	1798
233	548	1796
234	551	1794
235	553	1791
236	555	1788
237	557	1786
238	560	1783
239	562	1780
240	564	1777
241	566	1775
242	569	1772
243	571	1769
244	573	1767
245	575	1764
246	577	1761
247	580	1758
248	582	1756
249	584	1753
250	586	1750
251	588	1748
252	591	1745
253	593	1743
254	596	1741
255	598	1739
256	600	1736
257	603	1734
258	605	1731
259	608	1731
260	610	1728
261	612	1725
262	615	1725
263	617	1722
264	620	1719
265	622	1717
266	624	1714
267	626	1711
268	628	1709
269	631	1706
270	633	1704
271	635	1701
272	638	1699
273	640	1696
274	642	1693
275	644	1691
276	647	1689
277	649	1686
278	652	1685
279	654	1683
280	657	1681
281	659	1679
282	662	1677
283	664	1675
284	667	1675
285	670	1672
286	672	1670
287	674	1667
288	676	1664
289	679	1664
290	682	1663
291	684	1660
292	687	1659
293	689	1656
294	692	1654
295	694	1652
296	696	1649
297	699	1646
298	701	1644
299	704	1643
300	706	1640
301	708	1637
302	710	1635
303	713	1632
304	715	1630
305	717	1627
306	720	1626
307	722	1623
308	724	1620
309	727	1618
310	729	1616
311	731	1613
312	734	1611
313	736	1608
314	738	1606
315	740	1603
316	743	1601
317	745	1598
318	747	1596
319	749	1593
320	752	1591
321	754	1588
322	756	1585
323	759	1583
324	761	1581
325	763	1578
326	765	1575
327	768	1574
328	770	1571
329	773	1569
330	775	1568
331	778	1565
332	780	1563
333	782	1560
334	784	1558
335	787	1555
336	789	1552
337	791	1550
338	793	1547
339	795	1544
340	798	1542
341	801	1541
342	803	1538
343	805	1536
344	808	1534
345	810	1531
346	812	1529
347	814	1526
348	817	1523
349	819	1521
350	821	1518
351	824	1516
352	826	1514
353	828	1511
354	830	1509
355	833	1507
356	835	1504
357	837	1502
358	840	1499
359	842	1497
360	844	1495
361	846	1492
362	849	1490
363	851	1487
364	853	1484
365	855	1482
366	858	1479
367	860	1477
368	862	1474
369	864	1472
370	866	1469
371	869	1467
372	871	1465
373	873	1462
374	876	1460
375	878	1458
376	880	1455
377	882	1452
378	885	1450
379	887	1448
380	890	1447
381	893	1445
382	896	1443
383	898	1441
384	900	1438
385	903	1437
386	906	1435
387	908	1433
388	911	1431
389	913	1429
390	916	1426
391	918	1424
392	921	1422
393	923	1420
394	925	1417
395	927	1415
396	930	1413
397	932	1410
398	935	1408
399	937	1406
400	940	1404
401	942	1401
402	944	1399
403	946	1396
404	948	1394
405	951	1391
406	953	1389
407	956	1387
408	958	1385
409	960	1382
410	963	1380
411	965	1377
412	967	1375
413	970	1373
414	972	1370
415	974	1368
416	977	1366
417	979	1363
418	981	1360
419	983	1358
420	985	1355
421	988	1353
422	990	1350
423	992	1348
424	995	1346
425	997	1343
426	999	1341
427	1001	1338
428	1003	1336
429	1006	1333
430	1008	1331
431	1010	1329
432	1014	1327
433	1016	1325
434	1018	1322
435	1020	1320
436	1022	1317
437	1025	1315
438	1027	1312
439	1029	1310
440	1031	1307
441	1033	1304
442	1035	1302
443	1038	1299
444	1040	1297
445	1042	1294
446	1044	1292
447	1046	1289
448	1049	1287
449	1051	1284
450	1053	1282
451	1055	1279
452	1057	1276
453	1059	1274
454	1061	1271
455	1064	1269
456	1066	1267
457	1068	1264
458	1070	1262
459	1072	1259
460	1075	1256
461	1077	1254
462	1079	1252
463	1081	1249
464	1084	1247
465	1086	1245
466	1089	1243
467	1091	1240
468	1093	1238
469	1095	1235
470	1097	1233
471	1100	1230
472	1102	1228
473	1104	1225
474	1106	1223
475	1109	1221
476	1111	1218
477	1113	1216
478	1116	1213
479	1118	1212
480	1121	1209
481	1123	1207
482	1125	1204
483	1127	1202
484	1130	1199
485	1132	1197
486	1134	1195
487	1136	1192
488	1139	1190
489	1141	1187
490	1143	1185
491	1145	1183
492	1148	1180
493	1150	1178
494	1152	1175
495	1154	1173
496	1156	1170
497	1159	1169
498	1162	1166
499	1164	1164
500	1166	1161
501	1168	1159
502	1170	1157
503	1173	1154
504	1175	1152
505	1178	1150
506	1180	1147
507	1183	1145
508	1186	1144
509	1189	1142
510	1192	1140
511	1194	1138
512	1197	1136
513	1200	1134
514	1202	1132
515	1205	1130
516	1207	1128
517	1210	1126
518	1213	1124
519	1215	1122
520	1217	1119
521	1220	1117
522	1222	1114
523	1225	1113
524	1227	1110
525	1229	1108
526	1232	1105
527	1234	1103
528	1236	1101
529	1238	1098
530	1240	1096
531	1243	1093
532	1246	1091
533	1249	1090
534	1251	1087
535	1253	1085
536	1256	1083
537	1258	1081
538	1261	1078
539	1263	1076
540	1265	1073
541	1267	1071
542	1269	1068
543	1271	1066
544	1274	1063
545	1276	1061
546	1278	1058
547	1280	1056
548	1282	1053
549	1285	1051
550	1287	1048
551	1289	1046
552	1291	1043
553	1293	1041
554	1296	1039
555	1298	1036
556	1300	1034
557	1302	1032
558	1305	1029
559	1307	1027
560	1309	1024
561	1311	1022
562	1314	1019
563	1316	1017
564	1318	1015
565	1320	1012
566	1322	1010
567	1324	1007
568	1327	1005
569	1329	1002
570	1331	1000
571	1333	997
572	1335	995
573	1338	993
574	1340	990
575	1342	988
576	1344	985
577	1346	983
578	1350	981
579	1352	979
580	1354	977
581	1357	974
582	1359	972
583	1361	969
584	1363	967
585	1366	965
586	1368	962
587	1370	960
588	1372	958
589	1375	955
590	1377	953
591	1379	950
592	1382	948
593	1384	946
594	1386	943
595	1388	941
596	1391	939
597	1395	938
598	1399	936
599	1403	935
600	1406	934
601	1409	932
602	1411	929
603	1414	927
604	1416	924
605	1418	922
606	1421	920
607	1424	918
608	1426	916
609	1429	913
610	1432	911
611	1434	909
612	1437	907
613	1439	904
614	1441	902
615	1443	900
616	1446	897
617	1448	895
618	1450	893
619	1453	890
620	1455	888
621	1458	886
622	1462	884
623	1464	882
624	1467	880
625	1469	878
626	1472	875
627	1474	873
628	1476	871
629	1479	868
630	1481	866
631	1483	863
632	1486	861
633	1488	859
634	1490	856
635	1492	854
636	1494	851
637	1497	849
638	1499	847
639	1501	844
640	1503	842
641	1506	839
642	1508	837
643	1510	835
644	1512	832
645	1515	830
646	1517	827
647	1519	825
648	1521	822
649	1523	820
650	1525	818
651	1528	815
652	1532	814
653	1534	811
654	1536	809
655	1538	806
656	1540	804
657	1543	802
658	1545	799
659	1547	797
660	1549	794
661	1551	792
662	1554	789
663	1556	787
664	1558	785
665	1560	782
666	1563	780
667	1565	777
668	1567	775
669	1569	773
670	1571	770
671	1574	768
672	1576	765
673	1578	763
674	1580	761
675	1582	758
676	1585	756
677	1587	754
678	1589	751
679	1592	749
680	1594	746
681	1596	744
682	1599	742
683	1601	739
684	1603	737
685	1605	734
686	1607	732
687	1610	730
688	1612	727
689	1614	725
690	1617	723
691	1619	720
692	1621	718
693	1623	716
694	1626	713
695	1628	711
696	1630	708
697	1632	706
698	1635	704
699	1637	701
700	1639	699
701	1641	696
702	1643	694
703	1646	692
704	1648	689
705	1650	687
706	1652	685
707	1655	682
708	1657	680
709	1659	677
710	1661	675
711	1664	673
712	1666	670
713	1668	668
714	1670	666
715	1673	663
716	1675	661
717	1677	658
718	1679	656
719	1682	654
720	1684	651
721	1686	649
722	1689	647
723	1691	644
724	1693	642
725	1695	639
726	1697	637
727	1699	635
728	1702	632
729	1704	630
730	1706	628
731	1708	625
732	1711	623
733	1713	620
734	1715	618
735	1717	616
736	1720	613
737	1722	611
738	1725	609
739	1727	607
740	1729	604
741	1731	602
742	1734	600
743	1737	597
744	1739	595
745	1742	593
746	1744	590
747	1746	588
748	1748	585
749	1750	583
750	1752	581
751	1755	578
752	1757	576
753	1759	574
754	1761	571
755	1763	569
756	1765	566
757	1767	564
758	1770	562
759	1772	559
760	1774	557
761	1777	555
762	1779	552
763	1781	550
764	1783	547
765	1786	545
766	1788	543
767	1791	541
768	1793	538
769	1795	536
770	1798	534
771	1800	531
772	1803	529
773	1805	527
774	1808	524
775	1810	522
776	1812	520
777	1814	517
778	1817	515
779	1819	513
780	1821	510
781	1824	508
782	1826	506
783	1829	503
784	1831	501
785	1833	499
786	1836	496
787	1838	494
788	1841	492
789	1843	489
790	1845	487
791	1848	485
792	1850	483
793	1853	480
794	1855	478
795	1857	476
796	1860	473
797	1862	471
798	1864	469
799	1866	466
800	1869	464
801	1872	462
802	1874	459
803	1876	457
804	1878	455
805	1881	452
806	1883	450
807	1886	448
808	1888	445
809	1890	443
810	1892	441
811	1895	438
812	1897	436
813	1899	434
814	1902	431
815	1904	429
816	1906	427
817	1908	424
818	1911	422
819	1913	420
820	1915	417
821	1917	415
822	1919	412
823	1922	410
824	1924	408
825	1926	405
826	1928	403
827	1930	401
828	1933	398
829	1935	396
830	1937	394
831	1939	391
832	1941	389
833	1944	386
834	1946	384
835	1948	382
836	1950	379
837	1953	377
838	1955	375
839	1957	372
840	1959	370
841	1961	368
842	1964	365
843	1966	363
844	1968	361
845	1971	358
846	1973	356
847	1975	354
848	1977	351
849	1980	349
850	1982	347
851	1984	344
852	1986	342
853	1989	340
854	1991	337
855	1993	335
856	1995	332
857	1997	330
858	1999	328
859	2002	325
860	2004	323
861	2006	321
862	2008	318
863	2011	316
864	2013	314
865	2015	311
866	2017	309
867	2020	307
868	2022	304
869	2024	302
870	2026	300
871	2028	297
872	2031	295
873	2033	293
874	2035	290
875	2037	288
876	2040	286
877	2042	283
878	2044	281
879	2046	279
880	2048	276
881	2051	274
882	2053	272
883	2055	269
884	2058	267
885	2060	265
886	2063	262
887	2065	260
888	2068	258
889	2071	256
890	2073	253
891	2076	251
892	2078	249
893	2080	246
894	2083	244
895	2085	242
896	2088	239
897	2091	237
898	2095	235
899	2098	233
900	2100	230
